id_de_compañia,niu,id_contrato,nombre_de_la_compañia,operador_de_red,ciudad,direccion,medidor,ip,apn
Frt68951,18365210,26903.0,TelefónicaCL 31 81-116 INT 1,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL 31 81-116 INT 1,23123462.0,10.196.56.74,BIA.TIGO.COM
Frt20746,450530,28569.0,Wok CL 40 24 09,ENEL CUNDINAMARCA,Bogotá D.C.,CL 40 24 09,23101099.0,172.24.9.133,XMAASRTIOT
Frt67502,485868493,26875.0,TelefónicaVDA EL PESCADO RADIO BASE - LA PLATA,ELECTROHUILA HUILA,LA PLATA,VDA EL PESCADO RADIO BASE - LA PLATA,23086552.0,10.87.212.122,BIA.CLARO.COM.CO
Frt02169,93011,28953.0,AVICOLA EL GUAMITO S.A.S. VDA Miravel KM 5 FCA Guamito,ESSA SANTANDER,LEBRIJA,VDA Miravel KM 5 FCA Guamito,23113097.0,10.196.57.108,BIA.TIGO.COM
Frt09541,19440989,28954.0,AVICOLA EL GUAMITO S.A.S. M 86 VIA Cordialidad FCA Brujal,AIRE CARIBE_SOL,SABANALARGA,M 86 VIA Cordialidad FCA Brujal,23123506.0,10.196.56.94,BIA.TIGO.COM
Frt71099,17641597,24406.0,Francesca Miranda CR 53 CL 79 - 103 PISO 1 LOC 1 CM9946 ALTOS DEL PRADO,AIRE CARIBE_SOL,BARRANQUILLA,CR 53 CL 79 - 103 PISO 1 LOC 1 CM9946 ALTOS DEL PRADO,23121179.0,10.87.209.236,BIA.CLARO.COM.CO
Frt66692,18363847,26925.0,TelefónicaCR 43 CL 72 - 110 DPL CF287,AIRE CARIBE_SOL,BARRANQUILLA,CR 43 CL 72 - 110 DPL CF287,23101447.0,10.196.5.205,BIA.TIGO.COM
Frt70946,18178535,24407.0,Francesca Miranda CR 53 CL 79 - 103 LOC 03 CM9944 ALTOS DEL PRADO,AIRE CARIBE_SOL,BARRANQUILLA,CR 53 CL 79 - 103 LOC 03 CM9944 ALTOS DEL PRADO,23121136.0,10.196.71.36,BIA.TIGO.COM
Frt68880,19447166,26864.0,TelefónicaSECTOR 1 MZ 49-3,AFINIA CARIBE_MAR,MONTERÍA,SECTOR 1 MZ 49-3,23101313.0,10.196.6.185,BIA.TIGO.COM
Frt67365,0331596,27050.0,Viajero Hostels cra 3 no 20 35 apto 400 las nieves,ENEL CUNDINAMARCA,Bogotá D.C.,cra 3 no 20 35 apto 400 las nieves,23101421.0,10.87.209.156,BIA.CLARO.COM.CO
Frt66985,0331594,27049.0,Viajero Hostels AK 3 NO 20 35 AP 200 SEGUNDO PISO LAS NIEVES,ENEL CUNDINAMARCA,Bogotá D.C.,AK 3 NO 20 35 AP 200 SEGUNDO PISO LAS NIEVES,23102050.0,10.205.65.68,BIAENERGY.WOM.CO
Frt44870,341886,27006.0,El gringo del peñón CRA 3 OESTE NO 3 08,EMCALI CALI,CALI,CRA 3 OESTE NO 3 08,23081125.0,10.196.7.198,BIA.TIGO.COM
Frt68346,3412315,24581.0,(NUTRESA) Hamburguesas El Corral CL 42 #39 68 LOC 208 CC UNICENTRO,CELSIA_VALLE VALLE,PALMIRA,"CL 42 #39 68 LOC 208 CC UNICENTRO, PALMIRA, Valle del Cauca",23101126.0,10.87.224.6,BIA.CLARO.COM.CO
Frt66904,19417863,26905.0,TelefónicaCL 7 56-18 P 1 INT 2,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL 7 56-18 P 1 INT 2,23041298.0,10.196.55.246,BIA.TIGO.COM
Frt66927,19383300,24000.0,REPUBLICA CARTAGENA SAS CL 2A DE BADILLO 36-45 P 0 APTO 00,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL 2A DE BADILLO 36-45 P 0 APTO 00,23103092.0,10.196.71.38,BIA.TIGO.COM
Frt66926,21358814,21527.0,EMPRESA DE SERVICIO ESPECIAL DE TRANSPORTE MAMONAL S.A.S. SECTOR LOS NARANJOS KM 7-64 INT 2,AFINIA CARIBE_MAR,TURBACO,SECTOR LOS NARANJOS KM 7-64 INT 2,23103137.0,10.196.72.148,BIA.TIGO.COM
Frt66920,767956,26691.0,COLOMBIA TELECOMUNICACIONES S.A E.S.P BIC - TELEFONICA CL 56 H SUR No 89 71,ENEL CUNDINAMARCA,Bogotá D.C.,CL 56 H SUR No 89 71,37265482648.0,10.205.64.149,BIAENERGY.WOM.CO
Frt67007,1609192,26243.0,(NUTRESA) Papa John'sAK 15 NO 146 58 AP 105,ENEL CUNDINAMARCA,Bogotá D.C.,AK 15 NO 146 58 AP 105,23101424.0,10.205.65.47,BIAENERGY.WOM.CO
Frt66999,18554428,26754.0,TelefónicaCL 16 31-181,AFINIA CARIBE_MAR,VALLEDUPAR,CL 16 31-181,23101358.0,10.196.7.104,BIA.TIGO.COM
Frt66978,18472273,26899.0,TelefónicaCR 55C 15-31 P 1 INT 2,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CR 55C 15-31 P 1 INT 2,23101454.0,10.196.4.118,BIA.TIGO.COM
Frt67500,341102,27008.0,El gringo del peñón CL 3 OESTE   3   80,EMCALI CALI,CALI,CL 3 OESTE   3   80,23086599.0,10.196.71.158,BIA.TIGO.COM
Frt67364,6285120,23547.0,Poke Colombia CL 19 NO 02 A 02 LC 208,ENEL CUNDINAMARCA,Bogotá D.C.,CL 19 NO 02 A 02 LC 208,23101418.0,10.87.223.153,BIA.TIGO.COM
Frt68949,18577802,26902.0,TelefónicaCL 29E 20-141 P 7 INT 1,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL 29E 20-141 P 7 INT 1,23121186.0,10.196.58.92,BIA.TIGO.COM
Frt69186,823136,29368.0,Laika CARR COLOMBIA CAJICA F.ROSALLEDA,ENEL CUNDINAMARCA,CHÍA,CARR COLOMBIA CAJICA F.ROSALLEDA,23101259.0,10.196.72.242,BIA.TIGO.COM
Frt69175,0071609,28489.0,Los Hornitos SAS 3 KR 19 NO 15 SUR 35,ENEL CUNDINAMARCA,Bogotá D.C.,KR 19 NO 15 SUR 35,37265482598.0,10.205.65.46,BIAENERGY.WOM.CO
Frt69427,3146196,29372.0,Laika Cra. 68g #74b-56,ENEL CUNDINAMARCA,Bogotá D.C.,Cra. 68g #74b-56,37265482564.0,10.205.65.48,BIAENERGY.WOM.CO
Frt69428,3629316,28490.0,Los Hornitos SAS 3 KR 13 A NO 34 72 LC 102,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 A NO 34 72 LC 102,37265482622.0,10.205.65.71,BIAENERGY.WOM.CO
Frt69436,0554442,29369.0,Laika Cra. 68g #74b-56,ENEL CUNDINAMARCA,Bogotá D.C.,Cra. 68g #74b-56,37265482457.0,10.205.65.49,BIAENERGY.WOM.CO
Frt69596,3629315,28488.0,Los Hornitos SAS 3 KR 13 A NO 34 72 LC 101,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 A NO 34 72 LC 101,37265482309.0,10.205.65.72,BIAENERGY.WOM.CO
Frt68319,18139530,23733.0,INVERSIONES OROZCO DE LA CRUZ S EN C. CRA 51B CLL 82-283 Piso 2 CS 2 CM8345,AIRE CARIBE_SOL,BARRANQUILLA,CRA 51B CLL 82-283 Piso 2 CS 2 CM8345,23101310.0,10.196.56.113,BIA.TIGO.COM
Frt69518,17289767,26929.0,TelefónicaCR 70 CL 81 - 110 PISO 1 OFI 2 CJ4425,AIRE CARIBE_SOL,BARRANQUILLA,CR 70 CL 81 - 110 PISO 1 OFI 2 CJ4425,23123463.0,10.196.56.7,BIA.TIGO.COM
Frt68460,17154558,23734.0,INVERSIONES OROZCO DE LA CRUZ S EN C. CRA 51B CLL 82-283 DPL CM8344 Altos del Prado,AIRE CARIBE_SOL,BARRANQUILLA,CRA 51B CLL 82-283 DPL CM8344 Altos del Prado,23101311.0,10.87.209.187,BIA.CLARO.COM.CO
Frt69426,6985208,29371.0,Laika Calle 116 18 b 43,ENEL CUNDINAMARCA,Bogotá D.C.,Calle 116 18 b 43,37265480063.0,10.205.65.54,BIAENERGY.WOM.CO
Frt69563,0830598,26140.0,Koaj EXP ENEL BOGOTA,ENEL CUNDINAMARCA,TENJO,KR 2 NO 2 38 TENJO TENJO,22114154.0,10.205.65.50,BIAENERGY.WOM.CO
Frt69561,2534755,26139.0,Koaj EXP ENEL BOGOTA,ENEL CUNDINAMARCA,SIBATÉ,KR 8 NO 10 12,22114149.0,10.205.65.55,BIAENERGY.WOM.CO
